PLST|TN|155|00|00|000|00|0007204|1550000US4700200147|4700200147|3|6|47|01325873|147|H1|01639786|||||||||||||00200|C1|02403062||||||||||||||||||34980|1|400|99999|||||N|N||||||||||||||||||||||||||6191502|0|Robertson|Robertson County (part)|A||624|250|+36.5816294|-087.0666937|06|P|
PLST|TN|155|00|00|000|00|0007205|1550000US4700240071|4700240071|3|6|47|01325873|071|H1|01639751|||||||||||||00240|C1|02405121||||||||||||||||||99999|9|999|99999|||||N|N||||||||||||||||||||||||||1001335|0|Hardin|Hardin County (part)|A||45|22|+35.2300275|-088.3670927|06|P|
PLST|TN|155|00|00|000|00|0007206|1550000US4700240109|4700240109|3|6|47|01325873|109|H1|01639774|||||||||||||00240|C1|02405121||||||||||||||||||99999|9|999|99999|||||N|N||||||||||||||||||||||||||17228309|123178|McNairy|McNairy County (part)|A||2220|1017|+35.2491759|-088.3904215|06|P|
PLST|TN|155|00|00|000|00|0007207|1550000US4700440033|4700440033|3|6|47|01325873|033|H1|01648574|||||||||||||00440|C1|02405126||||||||||||||||||27180|1|297|99999|||||N|N||||||||||||||||||||||||||5687270|0|Crockett|Crockett County (part)|A||2336|994|+35.7841249|-089.1168587|06|P|
PLST|TN|155|00|00|000|00|0007208|1550000US4700540009|4700540009|3|6|47|01325873|009|H1|01639726|||||||||||||00540|C1|02403075||||||||||||||||||28940|1|315|99999|||||N|N||||||||||||||||||||||||||38844058|2372876|Blount|Blount County (part)|A||10978|4961|+35.8019493|-083.9781652|06|P|
PLST|TN|155|00|00|000|00|0007209|1550000US4700620041|4700620041|3|6|47|01325873|041|H1|01639738|||||||||||||00620|C1|02405130||||||||||||||||||99999|9|999|99999|||||N|N||||||||||||||||||||||||||5245013|0|DeKalb|DeKalb County (part)|A||981|476|+36.0768395|-086.0345373|06|P|
PLST|TN|155|00|00|000|00|0007210|1550000US4700640141|4700640141|3|6|47|01325873|141|H1|01639783|||||||||||||00640|C1|02405133||||||||||||||||||18260|2|999|99999|||||N|N||||||||||||||||||||||||||10591973|0|Putnam|Putnam County (part)|A||3963|1935|+36.1973154|-085.4484073|06|P|
PLST|TN|155|00|00|000|00|0007211|1550000US4700660049|4700660049|3|6|47|01325873|049|H1|01639743|||||||||||||00660|C1|02403081||||||||||||||||||99999|9|999|99999|||||N|N||||||||||||||||||||||||||9764289|0|Fentress|Fentress County (part)|A||555|307|+36.3819311|-084.8820797|06|P|
PLST|TN|155|00|00|000|00|0007212|1550000US4700940061|4700940061|3|6|47|01325873|061|H1|01639748|||||||||||||00940|C1|02405143||||||||||||||||||99999|9|999|99999|||||N|N||||||||||||||||||||||||||53335825|0|Grundy|Grundy County (part)|A||1117|474|+35.4310341|-085.7278022|06|P|
PLST|TN|155|00|00|000|00|0007213|1550000US4701220001|4701220001|3|6|47|01325873|001|H1|01639722|||||||||||||01220|U1|02586041||||||||||||||||||28940|1|315|99999|||||N|N||||||||||||||||||||||||||4191750|0|Anderson|Anderson County (part)|A||508|231|+36.1976016|-084.0332936|06|P|
